comments,labels
23 টাকায় ৩ জিবি কত বার নেওয়া যাবে?,Internet Package Issue
কারেন্ট চলে গেলে আপনাদের নেটওয়ার্ক চলে যায়,Network Issue
"01521443719 সিমে নিবন্ধন সমস্যা , কি করি?",Promotional
"কারেন্ট চলে গেলে নেট থেকে না, তার আবার অফার নেবো",Network Issue
"আমি নিজের নেটওয়ার্কেই থাকি সবসময়,,,",Network Issue
"সিম কিনে ফেলে রাখছি, ইন্টারনেট ব্যবহার করা যায় না, নেটওয়ার্ক খুব বেশি খারাপ।",Network Issue
সচল সিমের ধামাকা অফার দেন জনাব---,Internet Package Issue
কক্সবাজারের মধ্যে এভেলেবেল ব্যবহার করা যাবে???,Availability
ভাইরে সিমে নেটওয়ার্ক পায়না।,Network Issue
দারুণ অফার,Internet Package Issue
"কুমিল্লা, দেবিদ্বার, রামপুর গ্রাম থেকে বলছি, সেইখানে শুধু ē থাকে, নেটা নাই বললেই চলে, টেলিটক ছিলো, জিদ্দে ফালাই দিছি।",Network Issue
নেটওয়ার্ক ঠিক করুন। গ্রাহকের অভাব হবেনা।,Network Issue
নাম্বার সেম রেখে টেলিটকে আসা যায় কি ভাবে,Availability
আমার এলাকায় নেটওয়ার্ক নেই,Network Issue
টেলিটকে ইমার্জেন্সি টাকা আনার কোড কোন টি?,Mobile Financial Service Issue
বা* ল করে কল করার নেটওয়ার্ক এ নাই,Network Issue
কতদিন বন্ধ থাকলে পাওয়া যাবে,Promotional
আমার জিপি নাম্বার সাথে মিলেয়ে নতুন সিম পাবো,Availability
বন্ধ থেকে যদি ভালো কিছু হয় তাহলে বন্ধ থাকায় ভালো,Promotional
এতো ভালো অফার থেকে কি লাভ,Internet Package Issue
নেটওয়ার্ক তো থাকেই না,Network Issue
আমার দেশের সিম ব্যাবহার করতে খুব ইচ্চা করে,Promotional
কিন্তু নেটওয়ার্ক সমস্যা হওয়ার কারনে ব্যাবহার করি না,Network Issue
"কত দিন পর্যন্ত সিম বন্ধ থাকলে ,,,, বন্ধ সিমের অফার উপভোগ করতে পারবো",Internet Package Issue
এটা কি শুধু বন্ধ সীমের ক্ষেত্রে?,Promotional
আমাদের এলাকায় টেলিটকের ২ জি নেট,Network Issue
যদি নতুন সিম কিনি তাহলে কি ২৩ টাকার অফারটা পাবো,Internet Package Issue
চালু সিমের অফার দেন,Internet Package Issue
"আজীবন বন্ধ রাখবো,, যদিনা ক্লিয়ার নেটওয়ার্ক ও ইন্টারনেট সুবিধা পাই।",Network Issue
"সচল করে লাভ কি,নেটওয়ার্ক তো পায় না",Network Issue
"Teletalk এরকম অনেক বার বলেছেন। কোনো লাভ হয় নি,শেষ পর্যন্ত সিম বন্ধ করতে হয়েছে",Promotional
আমারদের এলাকায় 2G ও পায়না,3g/4g Issue
ফেনী তে আপনাদের নেটওয়ার্ক অনেকটা কমে গেছে।,Network Issue
কত দিন বন্ধ রাখতে হবে,Promotional
তাহলে আজকে থেকে সিমটা বন্ধ করে রাখি,Promotional
আমার সিমে অফারটি হবে কি না চেক করার অপশন আছে কি?,Internet Package Issue
কত মাস বন্ধ রাখতে হবে,Promotional
টেলিটক সিম কি ফ্রি রিপ্লেসমেন্ট করে দেয় বাংলালিংক এর মতো নাকি টাকা দিয়ে ফোর জি সিম রিপ্লেসমেন্ট করতে হয়,Call Center Issue
এ নম্বরটি বানিয়ে নেয়া যাবে?,Availability
4G কখন এভেলএবল হবে?,3g/4g Issue
চট্টগ্রাম বোয়ালখালী কি আপনাদের কোনো কাষ্টর্মার কেয়ার আছে ??,Internet Package Issue
অপরাজিতা সীম সম্পর্কে জানতে চাই। কলরেট কত করে?,Promotional
আমি নিজের মত নম্বর সাজিয়ে কিনতে চাই। কত টাকা লাগবে?,Promotional
"আগে নেটওয়ার্ক সেবা নিশ্চিত করেন,আমরা দেশের টাকা দেশেই রাখব",Network Issue
"অফার ভাল ,নেটওয়ার্ক সার্ভিস ভালো নয়।",Network Issue
Sim কত দিন বন্ধ থাকলে,Promotional
নেটওয়ার্ক এর যে অবস্থা । তাতে নেট দিয়ে কি হবে,Network Issue
কতবার কেনা যাবে এই বন্ধ সিমের প্যাকগুলো?,Promotional
নেট ঠিক করেন,Network Issue
কাস্টমার কেয়ার থেকে চয়েস নাম্বার কিনতে চাই??,Internet Package Issue
এই অফারটা কি টেলিটক ব্যবহারকারী সকলেই নিতে পারবে,Internet Package Issue
Teletalk তাহলে তো বুঝা যায় টেলিটক সিম বন্ধ রাখলে সবচেয়ে বেশি সুবিধা,Promotional
আমার সিম আছে রানিং কিন্তু ২ জি এখন কি করা যেতে পারে...বা রিফ্রলেস করলে কত টাকা লাগবে...,3g/4g Issue
এয়ারটেল ৩জি সিম ৪জি করতে কত টাকা লাগবে?,3g/4g Issue
আহা কি অফার???,Internet Package Issue
অফার টা এখন ও আছে....??,Internet Package Issue
ভাইয়া নেটওয়ার্ক আপডেট করেন আপনাদের,Network Issue
এলাকায়তো নেটওয়ার্কই পায়না,Network Issue
