Statement,Disease
"কানকোর ঢাকনাটা তুইলা দেখি, ভিতরে সব বাদামী হইয়া রইছে।",Gill Rot
"টেংরা মাছের কাঁটাগুলাও দেহি নরম হয়া গ্যাছে, লেজের তো কোনো চিহ্নই নাই।",Fin and Tail Rot
মাছগুলা এমনভাবে ঘুরতে থাকে যে একটার পাখনা আরেকটার গায়ে লাইগা ছিঁড়া যায়। দেইখা মনে হয় মাছের মধ্যে যুদ্ধ লাইগা গেছে।,Streptococcosis
পেটটা এত মোটা যে মাছটার পাখনাগুলাও শরীরের সাথে মিশা গ্যাছে।,Dropsy
"পোকাগুলা মাছের রক্ত চুইষে এমন অবস্থা করচে যে, মাছগুলান আর বাড়ার নামই করতিচে না, দিন দিন খালি হাড় জিরজিরা হচ্চে।",Argulosis
মাছটার পেটটা ফুলছে আর লেজটা কেমন জানি চিকন হইয়া গ্যাছে।,Dropsy
তেলাপিয়া মাছের পেটটা টিপলেই হলদে পানি বাইর হয়। মাছটা একদম নিস্তেজ হইয়া গেছে।,Hemorrhagic Septicemia
"মাছগুলা সব সারাদিন পানির উপরে ভাইসা থাকে, মনে হয় দম নিতে পারে না।",Gill Rot
"লেজ দিয়া সাদা সাদা গুঁড়া উড়তেছে, মাছটা একপাশে কাত। পানি তলায় নামতে চায় না।",White Spot Disease
"মাছগুলার চোখ দুইটা শুধু বাইরই হয় নাই, লালও হইয়া গেছে। দেইখা মনে হয় চোখের ভিতরে রক্ত জমছে।",Streptococcosis
এই সাদা দাগগুলা কি মাছের ডিম নাকি? এমনভাবে লাইগা রইছে যে উঠানোই যায় না।,White Spot Disease
মাছের শরীরের সব আঁশ উইঠা যাইতাছে আর চামড়াটা লাল হইয়া গেছে। দেখতেও বিশ্রী লাগে।,Hemorrhagic Septicemia
"মাছের চোখ দুইটা ঘোলা আর লাল হইয়া গেছে, আর শরীরটা ফ্যাকাশে। এই মাছ তো আর বাজারে বেচা যাইব না।",Hemorrhagic Septicemia
"আমি তো পুকুরে পটাশ দিলাম, ভাবসিলাম পাখনা পচাটা কমবো, কিন্তু কোনো লাভই হইলো না।",Fin and Tail Rot
"আমার পাঙ্গাস মাছগুলার মাথার চামড়ার নিচে পানি জমছে, দেইখা মনে হয় টিউমার হইছে। এই কারণেই মাছগুলা এমনভাবে ঘুরে।",Streptococcosis
এই রোগটা এত খারাপ যে মাছটা মইরা গেলেও এর শরীর থেইকা রোগের জীবাণু ছড়ায়।,Epizootic Ulcerative Syndrome
মাছটার গা এমন হইছে যেন ছাই ছিটাইছে কেহ। দেহ ঘষতেছে বারবার।,White Spot Disease
লেজের গোড়াটা একটু লাল হইসে আর আগাটা কেমন জানি ভাঙা ভাঙা।,Fin and Tail Rot
"ক্ষতটার গোড়ার দিকে চামড়াটা কেমন জানি কোঁচকাইয়া থাকে, দেইখা বোঝা যায় ভিতরে পচন ধরতেসে।",Epizootic Ulcerative Syndrome
পানির ধারে আইসা মাছগুলা খালি খাবি খায়। ফুলকা দুইটা তো সাদা হইয়া প্রায় বন্ধ হইয়া গেছে।,Myxoboliasis
"পোনা মাছগুলার পেটের তলে লাল হইয়া আছে, মনে হয় আর বাড়ব না। দিন দিন খালি কমতাছে।",Red Spot Disease
মাছগুলা কেমন জানি ঘোরে শুধু একটা জায়গায়। পাখনাগুলা ঠিকঠাক নড়ছে না।,Argulosis
"মাছের গায়ে এমন সাদা দাগ, দেইখা মনে অয় যেন কেউ সাদা তিল ছিটাই দিছে।",White Spot Disease
মাছগুলার ঠোঁটও ফুলা ফুলা লাগে। মনে হয় গুটিগুলা মুখের আশপাশেও হইছে।,Myxoboliasis
"মাছগুলা কেমন জানি দুর্বল হইয়া গেছে, সাঁতার কাটার সময় খালি টলমল করে। মনে হয় যেকোনো সময় তলাইয়া যাইব।",Streptococcosis
এই ঘা এর যন্ত্রণা এত বেশি যে মাছগুলা মাঝে মাঝে লাফ দিয়া ডাঙ্গায় উইঠা পড়ে।,Epizootic Ulcerative Syndrome
এই ছত্রাকটা প্রথমে ঘায়ের কিনারে দেখা দেয়। পরে আস্তে আস্তে পুরা ঘা-টারে ঢাইকা ফেলে।,Saprolegniasis
মাছগুলা এমনভাবে ঘুরতে থাকে যে একটার সাথে আরেকটার বাড়ি লাইগা সবগুলার শরীর ছিলা যায়। দেইখা খুব খারাপ লাগে।,Streptococcosis
"এই বর্ষার মেঘলা দিনে রোগটা বেশি ছড়ায়, মানুষ কয় আসমানেই নাকি কোনো সমস্যা আছে, তাই মাছের গায়ে ঘা।",Epizootic Ulcerative Syndrome
"বছরের শেষে মাছ বেইচা দেনা শোধ করার কথা ছিলো, কিন্তু এই ক্ষতের কারণে তো একটা মাছও রাখার মত নাই।",Epizootic Ulcerative Syndrome
তেলাপিয়া মাছগুলার পিঠের উপ্রে লাল চাকা চাকা দাগ। মাছগুলা কেমন জানি দুর্বল হইয়া এক কোণায় পইড়া থাকে।,Red Spot Disease
"মাছটার পেডডা কিবা কইরা জানি ফুলছে, আর গায়ের আঁশগুলাও খাড়া।",Dropsy
"মাছের কানকোর ভিতরটা ছ্যাৎলা পইড়া গেছে, মাছটা ঠিকমতো শ্বাস টানতে পারতেসে না।",Gill Rot
"মাছটা চিৎ হয়ে ভেসে আছে, পেটটা এত ফুলেছে যে সোজা হওয়ার ক্ষমতাও নাই।",Dropsy
মাছের গায়ে যেন কেউ তারকা বসাই দিছে। রাইতের বেলা চাঁদের আলোতে চকচক করে।,White Spot Disease
মাছ এত দুর্বল হইয়া গেছে যে হাত দিলেই ধরা দেয়। গায়ে তো রক্তের ছিটা আছেই।,Hemorrhagic Septicemia
ক্ষতটা এমনভাবে খাইয়া ধরতেসে যেন মাছের গায়ে জং পইড়া লোহা খইসা যাইতেছে।,Epizootic Ulcerative Syndrome
"মাছটা আর বাঁচে কিনা সন্দেহ, পেটটা যেকোনো সমায় ফাইটা যাইতে পারে মনে হচ্চে।",Dropsy
চিতল মাছের পিঠের চাকা চাকা দাগের মইধ্যেও লাল হইয়া গেছে। মাছটা আর আগের মতো লাফায় না।,Red Spot Disease
পানির মান খারাপ হইলেই দেখি মাছের এই পাখনা পচা রোগটা মারাত্মকভাবে দেখা দেয়।,Fin and Tail Rot
"এই ঘেরের প্রতিটা কোণা আমার চেনা ছিলো, এখন এই উকুন সব অচেনা কইরে দিছে।",Argulosis
"মাছগুলা পানা থাইকাও লাফায়া উঠতেছে, গায়ে পোকা কামড় দিছে বুইঝা যায়।",Argulosis
"মোগো পুকুরের মাছের পেডি ফুল্লা, আর কিছুই খায় না।",Dropsy
মাছের গায়ে যেন কেউ সাদা রঙের বরফ জমাই দিছে। এই বরফেই মাছের শরীর ঠান্ডা হইয়া যায়।,Saprolegniasis
"আমার সব মাছের লেজের আগাটা কেমন জানি শুকনা হইয়া যাইতেছে, এইটা কিসের লক্ষণ?",Fin and Tail Rot
মাছগুলা কেমন জানি সাইড হইয়া সাঁতরায়। ভালো কইরা চাইয়া দেখি কানকোর নিচে সাদা দাগ থিকথিক করতেছে।,White Spot Disease
"বোয়াল মাছটার চামড়াটা খইসা গিয়া মাংস বাইর হইয়া গেছে। মাংসের রঙটা কেমন জানি গাঢ় লাল, দেইখা ভয় লাগে।",Hemorrhagic Septicemia
"মাছগুলারে দেইখা মনে হয় ওদের গায়ে আগুন লাইগা ফোস্কা পইড়া গেছে, আর এখন সেইটা পচতেসে।",Epizootic Ulcerative Syndrome
"মাছের গায়ে ঘা হইলে ঐটার আর কোনো সৌন্দর্য থাকে না, দেখতেই বিশ্রী লাগে।",Epizootic Ulcerative Syndrome
আমার বোয়াল মাছগুলার পেটটা একদিকে এমনভাবে ফুলছে যে মাছটা আর ডুব দিতে পারে না। খালি পানির উপরে কাইত হইয়া ভাইসা থাকে।,Streptococcosis
"এই উকুনগুলা খালি মাছের রক্তই খায় না, মাছের গায়ের উপরের চামড়াও মনে হয় খাইয়ে ফেলে।",Argulosis
"যে মাছটার আঁশ খাড়া হইছে, হেইডারে অন্য মাছগুলা খালি ঠোকরাইয়া সরায়া দিচ্চে।",Dropsy
"আমার মনে হয় এইটা কোনো কিছুর কামড়ে হয়, কারণ পাখনাগুলা কেমন জানি ছিঁড়া-খোঁড়া।",Fin and Tail Rot
মাছের গায়ে কি কোনো বিষাক্ত মাকড়সা লাগছে? এমনভাবে কামড়াইছে যে ঘা হইয়া গেছে।,Red Spot Disease
"এই রোগটা কি সব জাতের মাছেই হয়? আমার তো দেখি রুই, কাতলা, শিং সব মাছেরই হইছে।",Red Spot Disease
গায়ে সাদা দাগ উঠার পর মাছটা গম্ভীর হইয়া গেছে। খাওনেও আগ্রহ নাই আর।,White Spot Disease
"এই রোগটা একবার লাগলে আর রক্ষা নাই, সব মাস মরে।",Gill Rot
"তেলাপিয়া মাছগুলার কানশার রঙ একদম ফিকে হইয়ে গেছে, আর খালি একপাশে কাত হইয়ে ভাসতেছে।",Gill Rot
"চোখের সামনে দেখতিচি মাছগুলান শুকাইয়ে শ্যাষ হইয়ে যাচ্চে, এই পোকার জন্য কিছুই করার নাই।",Argulosis
"গা'টা আর তেলতেলা নাই, একদম শুকনা হইয়া গেছে। এই অসুখে মাছগুলার রঙও চইলা গেছে।",White Spot Disease
"মাছটার গায়ের উকুন এত বেশি যে, মাছটার চামড়াটাই আর দেখা যায় না, খালি পোকার আস্তরণ।",Argulosis
বোয়াল মাছটার পেটের চামড়া খইসা গিয়া লাল হইয়া গেছে। মাছটা খালি চিৎ হইয়া ভাইসা থাকে।,Red Spot Disease
"পুকুরের সব মাছের গায়ে ঘা, এই দৃশ্য দেইখা রাইতে আর ঘুম আসে না, খালি দুশ্চিন্তা হয়।",Epizootic Ulcerative Syndrome
কয়টা মাছ ফ্যান ঘুরার মতো গোল গোল ঘুইরা পড়ে থাকে।,Argulosis
"মাছগুলো কেমন হালকা হইয়া গেছে, খালি ঘুমাইয়া থাকে। পিঠে সাদা দাগ, চোখ লাল।",White Spot Disease
এই লাল দাগগুলার জন্যেই মাছের গায়ের শক্তি কইমা গেছে। একটু স্রোত পাইলেই উল্টাইয়া যায়।,Red Spot Disease
"এই মাছগুলা পানির নিচে না গিয়া উপরে উঠে ওঠে বার বার। পিঠে সাদা দাগ ফোটে, খাইতেও মন নাই।",White Spot Disease
এই রোগ হইলে মাছের আর কোনো তেজ থাকে না। একদম নিস্তেজ হইয়া পড়ে।,Saprolegniasis
"আমার কৈ মাছগুলার গায়ের রঙটা কেমন জানি ফ্যাকাসে হইয়া গেছে, আর চোখ দুইটা গোল গোল হইয়া বাইর হইয়া আইছে। এই মাছ আর বাজারে বেচা যাইব না।",Streptococcosis
আমার সব থেকে দামি মাছটারও দেখি পাখনার রঙটা কেমন জানি ফ্যাকাশে হইয়া যাইতেছে।,Fin and Tail Rot
এই রোগটা হইলে মাছের আর কোনো উপায়ই থাকে না। বাঁচার কোনো পথই খোলা থাকে না।,Saprolegniasis
মাছগুলার গায়ের উপর ছোট ছোট লাল দাগ দেখা যাইতাছে। মনে হয় চামড়ার নিচে রক্ত জমছে।,Streptococcosis
আমার অ্যাকুরিয়ামের মাছগুলারও গায়ে লাল দাগ দেখা দিতাছে। কি যে এক বিপদে পড়লাম!,Hemorrhagic Septicemia
